scheme_code,requested_label,actual_scheme_name,fund_house,scheme_category,records,nav_start,nav_end,latest_nav
125497,HDFC Top 100 Direct (requested),SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,1745,2019-05-13,2026-05-31,193.6836
119551,SBI Bluechip (requested),Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,1757,2019-02-22,2026-06-01,104.7025
120503,ICICI Bluechip (requested),Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Equity Scheme - ELSS,1753,2019-04-30,2026-06-01,103.0948
118632,Nippon Large Cap (requested),Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund,1,2026-05-26,2026-05-26,99.4356
119092,Axis Bluechip (requested),HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Debt Scheme - Money Market Fund,1,2026-06-01,2026-06-01,6156.7532
120841,Kotak Bluechip (requested),quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund,1743,2019-04-30,2026-05-27,251.2273
