company_id,year,net_profit_margin_pct,operating_profit_margin_pct,ebit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,interest_coverage_status,net_debt_cr,net_debt_to_ebitda,asset_turnover,fixed_asset_turnover,free_cash_flow_cr,cfo_to_pat,capex_intensity_pct,fcf_conversion_pct,book_value_per_share,earnings_per_share,dividend_payout_ratio_pct,revenue_cagr_3y,revenue_cagr_3y_flag,revenue_cagr_5y,revenue_cagr_5y_flag,revenue_cagr_10y,revenue_cagr_10y_flag,pat_cagr_3y,pat_cagr_3y_flag,pat_cagr_5y,pat_cagr_5y_flag,pat_cagr_10y,pat_cagr_10y_flag,eps_cagr_3y,eps_cagr_3y_flag,eps_cagr_5y,eps_cagr_5y_flag,eps_cagr_10y,eps_cagr_10y_flag,price_to_earnings,price_to_book,ev_to_ebitda,fcf_yield_pct,capital_allocation_label,profitability_score,cash_quality_score,growth_score,leverage_score,health_score,health_band,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,valuation_flag,broad_sector,sub_sector,composite_ranking_score
INDIGO,2024-03,11.852722628584697,76.29890862649484,15.048473238128409,892.568306010929,1112.5536480686696,668.3306055646481,0.018579234972677595,4.4578675838349096,Levered,-171.0,-0.010193740685543965,56.38625204582652,125.73722627737226,9424.0,2.5937308681278317,17.065772669220944,115.39120852210114,190.625,212.0,0.0,67.58091776468258,OK,19.313355125806165,OK,20.01227897172877,OK,,TURNAROUND,120.69250867467933,OK,32.9316579498421,OK,,TURNAROUND,121.23568222761168,OK,-34.87773528813343,OK,127.41923839843273,1137.3037377049181,63.28120953800298,0.9056027172386589,SELF_FUNDED_REINVESTMENT,79.74,97.34,75.81,59.98,81.27,Excellent,76.23,7.87,24.64,4.27,Caution,Consumer Discretionary,Airlines,86.24
IRCTC,2024-03,26.01873536299766,34.33255269320843,35.48009367681499,34.39628482972136,46.048632218844986,18.240026268264653,0.018575851393188854,79.73684210526316,Levered,60.0,0.03816793893129771,0.7010343129207027,12.448979591836734,667.0,0.7938793879387939,5.035128805620609,60.03600360036003,40.375,14.0,47.0,76.46921430165466,OK,17.955244103890912,OK,,INSUFFICIENT,81.11627776293705,OK,29.16686408659448,OK,,INSUFFICIENT,91.29311827723889,OK,28.473515712343932,OK,,INSUFFICIENT,1132.7815391539154,389.6347647058824,937.6232061068702,0.05299874823631171,SELF_FUNDED_REINVESTMENT,68.88,77.51,100.0,75.19,78.64,Good,60.44,5.74,32.47,1.08,Caution,Consumer Discretionary,Travel & Tourism,79.43
ADANIPOWER,2024-03,41.36759945184802,36.20186292228556,48.02287938670533,48.27674122146251,31.095279124496855,22.638002804073516,0.8023177656738903,7.136953955135773,Levered,34242.0,1.2180996762833054,0.5472399439185297,0.7990192966865558,14170.0,0.6803015027125642,0.0,68.03015027125642,111.86155042779363,54.0,0.0,24.294797156226156,OK,16.086096410440966,OK,12.629527157691523,OK,154.07088459944453,OK,,TURNAROUND,,TURNAROUND,162.07413942088965,OK,,TURNAROUND,,TURNAROUND,65.87851313073119,31.8039993046703,48.30669986837892,1.0326606815830142,ASSET_MONETISATION_AND_DELEVERAGING,73.29,77.52,88.77,52.91,74.6,Good,44.57,9.91,24.76,1.65,Fair,Energy,Power & Utilities,71.04
COALINDIA,2024-03,26.25628846856468,66.29380849329698,40.196312638767886,45.16982956605826,64.09756534794349,15.802850255846407,0.0788468512027076,6.813839923773226,Levered,-587.0,-0.009179907418991618,0.6018691588785047,1.880900777078818,13617.0,0.48443897348069254,3.151963126387679,36.439294602477986,134.23657309751746,61.0,42.0,16.493956528516662,OK,7.402890725901301,OK,7.261143616999366,OK,43.28908935217686,OK,16.43231987118112,OK,9.476008121750844,OK,42.6823258428825,OK,16.851518569430034,OK,9.777126683205474,OK,12.149772271133829,5.488031427535356,8.988886994870512,2.9991751112119767,SELF_FUNDED_REINVESTMENT,89.23,72.56,52.88,60.15,72.6,Good,34.27,14.75,25.15,4.38,Discount,Materials,Mining & Metals,69.71
ABB,2024-03,20.533424517011454,24.84185330825782,27.86801162591896,32.46823465801568,43.09888947646748,23.127286732139417,0.022438496891051634,135.83333333333334,Levered,83.0,0.04879482657260435,1.1263238975544,25.995555555555555,1095.0,5.027477102414655,84.51017267909045,91.17402164862615,1761.4285714285713,565.0,73.0,10.713721789385655,OK,9.716101277290168,OK,9.898290364739681,OK,20.232437941096727,OK,21.69314043381163,OK,19.75338045077737,OK,20.24167817921956,OK,21.65851677781967,OK,19.772344260550724,OK,1279.1309242298084,415.311230062179,951.9983303938859,0.07127809977975783,SELF_FUNDED_REINVESTMENT,57.31,97.14,20.54,86.58,66.29,Good,75.58,4.48,12.63,0.96,Caution,Industrials,Capital Goods,64.57
HAL,2024-03,24.999177117277245,32.08913465652875,33.71185938580034,3816.5829145728644,3180.745341614907,1687.7777777777776,0.6180904522613065,238.1860465116279,Levered,80.0,0.006868131868131868,67.51333333333334,126.5875,1814.0,1.0830809743252139,21.105296073203647,23.884134298880845,199.0,114.0,31.0,9.909701355201484,OK,8.712548590236358,OK,7.216583450874392,OK,32.85327865470051,OK,26.485270563052985,OK,10.924924675843673,OK,33.420082436097246,OK,26.63896760913802,OK,15.073330286143992,OK,348.0733192890059,13284.506834170854,269.5983671016483,0.06861811283803056,SELF_FUNDED_REINVESTMENT,78.18,75.76,33.18,89.58,70.16,Good,71.89,3.65,8.76,2.77,Caution,Industrials,Defence & Aerospace,60.9
