company_id,year,net_profit_margin_pct,operating_profit_margin_pct,ebit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,interest_coverage_status,net_debt_cr,net_debt_to_ebitda,asset_turnover,fixed_asset_turnover,free_cash_flow_cr,cfo_to_pat,capex_intensity_pct,fcf_conversion_pct,book_value_per_share,earnings_per_share,dividend_payout_ratio_pct,revenue_cagr_3y,revenue_cagr_3y_flag,revenue_cagr_5y,revenue_cagr_5y_flag,revenue_cagr_10y,revenue_cagr_10y_flag,pat_cagr_3y,pat_cagr_3y_flag,pat_cagr_5y,pat_cagr_5y_flag,pat_cagr_10y,pat_cagr_10y_flag,eps_cagr_3y,eps_cagr_3y_flag,eps_cagr_5y,eps_cagr_5y_flag,eps_cagr_10y,eps_cagr_10y_flag,price_to_earnings,price_to_book,ev_to_ebitda,fcf_yield_pct,capital_allocation_label,profitability_score,cash_quality_score,growth_score,leverage_score,health_score,health_band,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,valuation_flag,broad_sector,sub_sector,composite_ranking_score
INDIGO,2024-03,11.852722628584697,76.29890862649484,15.048473238128409,892.568306010929,1112.5536480686696,668.3306055646481,0.018579234972677595,4.4578675838349096,Levered,-171.0,-0.010193740685543965,56.38625204582652,125.73722627737226,9424.0,2.5937308681278317,17.065772669220944,115.39120852210114,190.625,212.0,0.0,67.58091776468258,OK,19.313355125806165,OK,20.01227897172877,OK,,TURNAROUND,120.69250867467933,OK,32.9316579498421,OK,,TURNAROUND,121.23568222761168,OK,-34.87773528813343,OK,127.41923839843273,1137.3037377049181,63.28120953800298,0.9056027172386589,SELF_FUNDED_REINVESTMENT,79.74,97.34,75.81,59.98,81.27,Excellent,76.23,7.87,24.64,4.27,Caution,Consumer Discretionary,Airlines,86.24
TRENT,2024-03,11.935353535353535,15.927272727272726,18.496969696969696,36.30776794493609,39.323140353891084,20.622731080703712,0.4309242871189774,6.220108695652174,Levered,337.0,0.11385135135135135,1.7278693102485339,5.051020408163265,841.0,0.913337846987136,4.105050505050505,56.939742721733246,113.0,42.0,8.0,68.36335197744833,OK,36.30691600183056,OK,18.15797703617492,OK,,TURNAROUND,73.11367578503176,OK,,TURNAROUND,,TURNAROUND,69.52182030724354,OK,,TURNAROUND,386.81248476641844,140.44297935103245,191.3152297297297,0.14720244295143942,SELF_FUNDED_REINVESTMENT,45.96,78.09,75.81,57.85,63.35,Average,8.65,11.82,34.65,3.46,Discount,Consumer Discretionary,Retail,63.98
TATAMOTORS,2024-03,7.263066074788551,13.595385542828959,8.663752945689703,37.45613415294755,19.742428972837963,8.607629877598297,1.2631244259167667,3.799419186861606,Levered,84291.0,1.2925886736900216,1.1851234435931923,3.6107350455538607,45133.0,2.135221806520577,5.2022250232915,141.89643789103027,221.71801566579634,94.0,7.0,20.579364569370973,OK,7.7201595386239275,OK,6.521097272673915,OK,,TURNAROUND,,TURNAROUND,8.513716630198353,OK,,TURNAROUND,,TURNAROUND,6.9519387639527475,OK,47.28854151601848,17.71245954921218,24.36302801674564,3.000651602734764,SELF_FUNDED_REINVESTMENT,30.59,94.04,59.35,49.63,58.23,Average,67.07,0.93,15.35,3.65,Caution,Consumer Discretionary,Automobiles,58.9
BHARTIARTL,2024-03,5.706018055499993,52.20093077836007,23.554159832513236,10.35839213740181,11.846310162938323,1.9361158683224027,2.6094723973904306,1.559828682444366,Levered,183990.0,2.4576237227008617,0.3393112060793767,0.4944956034064945,27809.0,9.219210095816779,34.063420943846594,324.94741762093946,143.5853319429962,13.0,62.0,14.232767250604962,OK,13.17410230151459,OK,5.735981845577776,OK,,TURNAROUND,38.35662769365473,OK,10.981583453663312,OK,,TURNAROUND,67.02776523348103,OK,10.026509310601806,OK,44.23998948352419,4.582551592248756,5.743304481399853,7.345106122639473,SELF_FUNDED_REINVESTMENT,20.64,100.0,7.95,38.83,44.64,Weak,63.78,6.28,39.71,1.02,Fair,Communication Services,Telecommunications,47.7
BHEL,2024-03,1.180262001423011,2.9757669610346125,4.482484409659733,1.1539405843358703,3.216795819066499,0.4716665551615709,0.36238644733611586,1.2934782608695652,Levered,8600.0,6.515151515151516,0.399628688031043,9.282439782439782,-3713.0,-13.166666666666666,0.0,-1316.6666666666665,70.22413793103448,1.0,31.0,11.343850250620191,OK,-4.728642461606237,OK,-4.917554706101179,OK,,TURNAROUND,-22.397399063784775,OK,-22.269171506089446,OK,,TURNAROUND,-19.72584382397693,OK,-20.567176527571853,OK,1915.084574468085,22.098938129143136,517.0152803030303,-0.6875240311683734,RESTRUCTURING_WITH_EXTERNAL_SUPPORT,0.0,0.0,20.47,38.71,9.9,Poor,29.8,11.43,21.59,4.04,Discount,Industrials,Capital Goods,13.63
